,index,Date,Time,Location,Operator,Route,Flight#,Type,Registration,Serial#,Aboard,Fatalities,Ground,Summary
3206,3206,1980/03/14,11:00:00,"Near Warsaw, Poland",LOT Polish Airlines,New York City - Warsaw,2269,Ilyushin IL-62,VF-CAS,11004,87.0,87.0,0.0,"While attempting to land at Warsaw, the crew initiated an overshoot procedure after there were indications that the landing gear was not down. When thrust was applied, the No. 2 engine disintegrated, damaging two other engines and severing the rudder and elevator control lines. The plane crashed one-half mile from the runway threshold. Metal fatigue in the No. 2 engine turbine disc. The dead included 22 members of the U.S. boxing team and Polish singer Anna Jantar. The aircraft was named Mikolaj Kopernik."
3207,3207,1980/03/14,15:00:00,"Near Yenice, Turkey",Military - U.S. Air Force,/,1522,Lockheed C-130H,PW-CVM,4659,18.0,18.0,0.0,Crashed into hilly terrain after the left wing exploded. Cause unknown. The plane was returning to Incirlik Air Base.
3208,3208,1980/03/21,19:49:00,"Houston, Texas",Eagle Commuter,"Houston, TX - Brownwood, TX",4698,Piper PA-28-180,RF-AJC,28-7305503,10.0,7.0,0.0,"The right engine failed while taking off. The plane plunged to the ground, struck a helicopter, a small plane, four parked cars, and slammed into a hanger and burst into flames. The engine failed for undetermined reasons.  Improper emergency procedures. The pilot did not properly configure aircraft and  land immediately."
3209,3209,1980/03/21,0,"Off Macae, Brazil",VOTEC,/,2264,Sikorsky S-76,XM-DWZ,760008,14.0,14.0,0.0,Crashed into the sea.
3210,3210,1980/03/24,0,"Deer Lake, Canada",Tomahawk Airways,/,3954,Cessna 402,HD-MIQ,5937,9.0,6.0,0.0,/
3211,3211,1980/03/30,0,"Cuiaba, Brazil",VoteTaxi Aéreo,/,6863,Britten Norman BN Islander,VY-PJV,695,9.0,9.0,0.0,Crashed after stalling.
3212,3212,1980/04/12,20:40:00,"Florianopolis, Brazil",Transbrasil,Sao Paulo - Florianopolis,6193,Boeing B-727-27C,SB-CSB,19111/297,58.0,55.0,0.0,The plane crashed into a hill while landing during a thunderstorm. The pilot misjudged his speed and distance and failed to initiate a go-around. Improper flight supervision and control of the engines.
3213,3213,1980/04/24,0,"Posht-i-Badam, Iran",Military - U.S. Air Force,/,2405,Lockheed EC-130E Hercules,QD-SQA,3770,7.0,5.0,0.0,Hit by  a U.S. Marine Corps RH-53D Sea Stallion helicopter during a hostage rescue operation while on the ground.
3214,3214,1980/04/25,13:21:00,"Tenerife, Canary Islands",Dan Air Services,Manchester - Tenerife,7902,Boeing B-727-64,YK-HGV,19279/288,146.0,146.0,0.0,"The plane crashed into a mountain 5,500 ft. high at 300 mph during an approach to Tenerife. The pilot, while in a holding pattern, took the aircraft in an area of high ground not maintaining the correct altitude. Lack of communication between the pilot and co-pilot."
3215,3215,1980/04/27,06:55:00,"Don Muang, Thailand",Thai Airways,Khon Kaen - Bangkok,8373,Hawker Siddeley HS-748-2,QI-NFB,1568,53.0,44.0,0.0,"The aircraft entered a thunderstorm, was caught in a downdraft and struck the ground 8 nm northeast of Bangkok International Airport. The pilot directed the aircraft into a thunderstorm in an early dissipating stage.  The aircraft was severely affected by a downdraft and lost altitude rapidly. At that time, the altitude of the aircraft was 1,500 ft. and the pilot could not maintain altitude. Procedural error by the pilot. Was not tuned to weather warning, did not use his weather radar and flew into an area of severe weather."
3216,3216,1980/05/13,0,"Campinas, Brazil",VoteTaxi Aéreo,/,3676,Britten Norman BN Islander,JG-WLK,208,7.0,7.0,0.0,Crashed while conducting a survey
3217,3217,1980/05/13,0,"Off Varadero, Cuba",Cubana de Aviacion,Training,1540,Ilyushin IL-14,QW-PIU,147001642,3.0,3.0,0.0,Crashed into the sea.
3218,3218,1980/12/21,14:23:00,"Near Rio Hacha, Colombia",Transportes Aereos del Caribe,Rio Hacha - Medellin,9722,Aerospatiale Caravelle 6R,YT-EHZ,165,70.0,70.0,0.0,A fire and explosion took place 5 minutes after taking off. The explosion was possibly caused by a bomb placed in the rear section of the aircraft.
3219,3219,1980/05/19,12:05:00,"Off Sarasota, Florida",Northeast Jet,"West Palm Beach, FL - New Orleans, LA",3399,Learjet 25D,YV-IHV,25-271,2.0,2.0,0.0,"An unexpected encouter with moderate to severe clear air turbulence, the flightcrew's improper response to the encounter, and the aircraft's marginal controllability characteristics when flown at and beyond the boundary of its high altitude speed envelope, all of which resulted in the aircraft exceeding its Mach limits and a progressive loss of control from which recovery was not possible."
3220,3220,1980/05/28,12:25:00,"Gran Canaria Island, Spain",Spanish Air Force,/,7807,Lockheed C-130,YI-PPZ,4520,11.0,11.0,0.0,Crashed into a mountain because of no visual reference due to fog.
3221,3221,1980/06/02,0,"Near Yachiba, Bolivia",Lloyd Aereo Boliviano,/,9115,Fairchild F-27J,XA-MJW,0118,13.0,13.0,0.0,Crashed in the Tapecua mountains.
3222,3222,1980/06/08,15:33:00,"Near Matala, Angola",Lineas Aereas de Angola,/,8004,Yakovlev YAK-40,WM-DON,9721753,29.0,29.0,0.0,Accidentally shot down by anti-aircraft fire.
3223,3223,1980/06/12,15:46:00,"Valley, Nebraska",Air Wisconsin,"Appleton, WI - Minneapolis, MN, - Lincoln, NE",4271,Swearingen 226TC Metro II,IR-WRS,TC-228,15.0,13.0,0.0,After penetrating a thunderstorm massive amounts of water cause both engine to lose power. Although the engines were restarted the crew could not recover and crashed into a field. Engine failure due to massive ingestion of water into both engines. Crew error. Unwise decision to enter an area of thunderstorms. Critical weather not disseminated.
3224,3224,1980/06/12,0,"Near Dushanbe, Russia",Aeroflot,/,1438,Yakovlev YAK-40,FA-NNQ,9910403,29.0,29.0,0.0,Struck a mountain.
3225,3225,1980/06/15,11:06:00,"Lihue, Hawaii",Aero PaLease - Air Taxi,"Honolulu, HI - Lihue, HI",1398,Piper PA-34,VY-PMN,748,2.0,2.0,0.0,Missed approach and crashed in fog and rain.  ATC failure to track flight to termination of radar service and advise of impending danger.
3226,3226,1980/06/27,20:59:00,"Tyrrhenian Sea,  off Ustica, Italy",Itavia,Bologna - Palermo,6324,McDonnell Douglas DC-9-15,YU-SYO,45724/22,81.0,81.0,0.0,"Two Libyan MiG aircraft concealed themselves from radar detection by flying closely to the DC-9. When this was discovered, an attempt was made by either French or US aircraft to intercept the MiGs. It was believed that a shot fired at the MiGs accidentally struck Itavia Flight 870. The aircraft exploded and crashed off the island of Ustica. A report released in 1994 stated new evidence pointed to an explosive device aboard the aircraft causing the crash."
3227,3227,1980/07/07,0,"Near Tepic, Mexico",IMSS,/,1640,Embraer 110P1 Bandeirante,DT-EME,110-242,13.0,13.0,0.0,/
3228,3228,1980/07/07,00:39:00,"Nar Alma-Ata, Kasakastan, USSR",Aeroflot,Alma Ata - Simferopol,9175,Tupolev TU-154B,EG-BGO,355,166.0,166.0,0.0,The aircraft crashed and burned in a field 2 minutes after takeoff. Windshear.
3229,3229,1980/07/12,0,"Golovin, Alaska",Ryan Air Services,"Nome, AK - Unalakeet, AK",3444,Cessna 402B,WI-KOA,402B0817,8.0,8.0,0.0,The plane crashed after continued VFR flight into adverse weather conditions.
3230,3230,1980/07/21,17:02:00,"Tusayan, Arizona",SceniAirlines,"Tusayan, AZ - Phoenix, AZ",2646,Cessna 404 Titan II,ND-VMM,1083,8.0,8.0,0.0,Collided with trees during the initial climb due to engine failure. Substantial loss of power I the left engine at a critical point in takeoff and the failure of the pilot to establish a minimum drag configuration which degraded the marginal single-engine climb performance of the aircraft. The loss of power resulted from seizure of the turbocharger following progressive failure of the turbine wheel blades initiated by foreign object ingestion which had occurred previous t o this flight and was not detected during maintenance on t he engine 4 days before the accident.
3231,3231,1980/07/25,07:13:00,"Philadelphia, Pennsylvania",Air Pennsylvania - Air Taxi,"Hazelton, PA - Philadelphia, PA",3974,Piper PA-31-350,LV-BKO,317405138,3.0,3.0,0.0,"The aircraft flew into the vortex wake of a B727, lost control and crashed."
3232,3232,1980/08/01,0,"Cerro Lilio, Mexico",Aeronaves del Peru,"Lima, Peu - Mexico City, Mexico",1633,Douglas DC-8-43F,HZ-NNN,45598/57,7.0,3.0,0.0,The cargo plane crashed into a mountain in poor visibility.
3233,3233,1980/08/03,16:15:00,"Togiak, Alaska",Yute Air Alaska - Air Taxi,"Dillingham, AK - Return",5530,de Havilland DHC-3,YV-GIX,5935,9.0,2.0,0.0,Struck a hill after taking off and climbing into a fog shrouded valley. Continued VFR flight into adverse weather conditions
3234,3234,1980/08/06,17:40:00,"Houma, Louisiana",Air Logistics,Oil Platform SS-224 - Houma LA,6499,Bell 205A-1 helicopter,DY-ELJ,30203,13.0,13.0,0.0,"Crashed after continued VFR flight into adverse weather conditions. No windshield wipers, unreliable attitude indicator and inoperative turn needle."
3235,3235,1980/08/07,03:00:00,"Nouadhibou, Mauretania",Tarom,Bucurest  - Nouadhibou,3099,Tupolev TU-154B-1,HM-DWK,277,168.0,1.0,0.0,"The aircraft touched down in water 1,000 ft. short of the runway."
3236,3236,1980/08/11,0,"Rio de Janeiro, Brazil",Prospec,/,8352,Britten-Norman BN-2A-6 Islander,AO-GHP,644,3.0,3.0,0.0,Crashed shortly after taking off.
3237,3237,1980/08/13,21:55:00,"Sa Cabaneta, Spain",Spantax,/,5777,Learjet 35A,AM-DWA,35-196,4.0,4.0,0.0,Slamed into a mountain while on approach.
3238,3238,1980/12/23,23:12:00,"Qatar, Qatar",Saudi Arabian Airlines,Dhahran - Karachi,5743,Lockheed L-1011-200,EK-BHW,1161,291.0,2.0,0.0,Two passengers were sucked out of the plane after a tire exploded in the wheel well causing damage to the fuselage.
3239,3239,1981/01/14,0,"Ramstein AFB, West Germany",Military - U.S. Air Force,"Ramstein AFB - Oslo, Norway",5735,Lockheed C-130E Hercules,TA-DOT,4357,11.0,11.0,0.0,"Stalled, crashed shortly after taking off."
3240,3240,1980/08/19,19:08:00,"Near Riyadh, Saudi Arabia",Saudi Arabian Airlines,Riyadh - Jeddah,8042,Lockheed 1011-200 TriStar,RJ-PHS,1169,301.0,301.0,0.0,"The flight experienced a fire in the aft cargo compartment  6 minutes after taking off from Rilyadh. The plane returned to the airport and landed but because of a delay in evacuating the plane, all aboard were killed by smoke and fire. Half a minute before landing the captain decided not to order an emergency evacuation.  When he landed, he did not stop immediately but instead proceeded to make a normal landing delaying the fire equipment from putting out the fire. It took a full twenty-three minutes after touchdown before the doors were opened. The failure of the captain to prepare the cabin crew for immediate evacuation upon landing and his failure in not making a maximum stop landing on the runway, with immediate evacuation."
3241,3241,1980/08/26,0,"Near Jakarta, Indonesia",Bouraq Indonesia Airlines,Banjarmasin-Sjamsudin Noor  -  Jakarta,9751,Vickers Viscount 812,MF-XHO,353,37.0,37.0,0.0,"A section of the tail separated in flight and the aircraft crashed into a swamp. Broken spigot fitting, which is part of  the elevator torque tube assembly. The part was not repaced as required."
3242,3242,1980/09/05,0,"Near Montelimar, France",Military - Kuwait Air Force,/,1139,Lockheed L-100-20 Hercules,RB-NSM,4350,8.0,8.0,0.0,Crashed after being struck by lightning
3243,3243,1980/09/10,0,"Puerto Olaya, Colombia",Aeronorte Colombia,Barranquilla - Bogota,3383,Douglas C-47,PM-IOC,4404,3.0,3.0,0.0,While en route a wing separated from the cargo plane which led to loss of control.  The wing attachment bolts failed in turbulence.
3244,3244,1980/09/12,20:58:00,"Off Freeport, Bahamas",Florida Commuter Airlines,West Palm Beach - Freeport Grand Bahama Islands,1113,Douglas DC-3,UK-LMI,4861,34.0,34.0,0.0,"The aircraft crashed into the AtlantiOcean about 3.5 nm SW of West End Settlement in low ceiling and thunderstorm activity. The cause was unable to be determined. Contributing factors include flight into thunderstorm activity, a malfunctioning pitot tube and improper supervision by airline management."
3245,3245,1980/09/14,0,"Kindu, Zaire",Military - Force Aérienne Zaïroise,/,6489,Lockheed Hercules C-130,KE-WDI,4569,36.0,36.0,0.0,Crashed on takeoff after losing one engine.
3246,3246,1980/09/15,00:00:00,"Near Medina, Saudi Arabia",Military - Royal Saudi Air Force,/,6292,Lockheed C-130E,OX-GZV,4128,89.0,89.0,0.0,Crashed into the desert after taking off. Report of an in-flight fire.
3247,3247,1980/09/17,0,"Near Kindu, Zaire",Military - Zairean Air Force,/,7326,de Havilland DHC-5 Buffalo,TG-FBW,486,36.0,36.0,0.0,Crashed shortly after taking off.
3248,3248,1980/09/22,0,"Mount Smjorfjollum, Iceland",Flugfelag Austurlands,/,6309,Britten-Norman BN-2A-27 Islander,UB-BTT,142,3.0,3.0,0.0,Crashed into a mountain while en route.
3249,3249,1980/09/30,0,"Badakshan, Afghanistan",Military - Soviet Air Force,/,9567,Antonov AN-12V,RM-SWD,1347710,45.0,45.0,0.0,Shot down by Afghan guerrilla forces as it prepared to land.
3250,3250,1980/10/24,09:47:00,"Gainsville, Florida",Tampa Air Center - Air Taxi,"Bartow, FL - Lake City, FL",3254,Beechcraft E18S,SK-WIT,911,3.0,3.0,0.0,"The aircraft experienced engine failure on final approach and collided with electronitowers. Inadequate maintenance and inspection of fuel system, filters, strainers and screens."
3251,3251,1980/11/04,0,"Caracas, Venezuela",Fuerza Aérea Venezolana,/,6668,Lockheed C-130H Hercules,TK-AJR,4406,11.0,11.0,0.0,Engine failure.
3252,3252,1980/11/12,23:53:00,"Near Cairo, Egypt",Military - U.S. Air Force,Ramstein AB - Cairo,8532,Lockheed C-141A,UG-UXO,6281,13.0,13.0,0.0,Descended at an excessive sink rate at a banked angle until it crashed to the ground as it prepared to land at Cairo Airport.
3253,3253,1980/11/17,0,"Annanberg, Papua New Guinea",Provincial Air Services,/,1769,Britten-Norman BN-2A Trislander,NN-NND,0279,4.0,4.0,0.0,/
3254,3254,1980/11/19,0,"Seoul, South Korea",Korean Airlines,Anchorage - Seoul,6370,Boeing B-747-2B5B,QZ-PLA,21773/366,226.0,15.0,0.0,Undershot runway and crashed while landing in fog. Crew error.
3255,3255,1980/11/24,0,"Near Medellin, Colombia",F.R. de la Direccion General de Ados,/,2612,Douglas C-47A-35-DL,BU-BEY,9703,20.0,20.0,0.0,"The aircraft crashed into a mountain at 9,500 ft. while descending to land. Continued VFR flight in deteriorating weather at low altitude in a mountainous area."
3256,3256,1980/11/28,21:35:00,"Pecos City, Texas",Central Air Services,/,1759,Douglas DC-7B,RI-OXK,45085/714,2.0,2.0,0.0,The cargo plane entered a steep bank shortly after takeoff and crashed. Complete engine failure/flameout No.1 engine. Powerplant failure for undetermined reasons. Pilot-in-command  failed to obtain/maintain flying speed. Improper emergency procedures
3257,3257,1980/12/05,0,"Dar es Salaam, Tanzania",Tanzania Aviation,Dodoma - Dar es Salaam,2283,Piper PA-42 Cheyenne,PA-SIN,5635,10.0,10.0,0.0,/
3258,3258,1980/12/07,16:47:00,"Michigan City, IN",Queen Airmotive - Air Taxi,"Chicago, IL - Michigan City, IL",2494,Beechcraft B90,HI-TPL,LW-181,4.0,4.0,0.0,Crashed on final approach and came to rest in water. Elevator assembly detached due to missing bolt.
3259,3259,1980/12/12,19:51:00,"Cold Bay, Alaska",Penninsula Airways - Air Taxi,"King Cove, AK - Cold Bay, AK",8637,Piper PA-32,RD-DDA,2830,4.0,4.0,0.0,"Pilot misjudged altitude and crashed in snow, gusting winds and dark night while en route."
3260,3260,1980/12/16,0,"Tumut,, Australia",Eagle Airways,/,8288,Britten-Norman BN-2A Trislander,EJ-SLW,1030,2.0,2.0,0.0,Crashed in mountains while en route.
3261,3261,1981/08/27,0,"Mt. Elena, Colombia",Aeropesca Colombia,Florence - Neiva,6619,Vickers Viscount 745D,PD-BPC,112,50.0,50.0,0.0,Crashed in the jungle on a mountain peak. Flying VFR in meteorological conditions below minima.
3262,3262,1981/01/20,11:27:00,"Spokane, Washington",Cascade Airways,Moses Lake - Spokane,1961,Beechcraft 99A,JS-FAS,U-101,9.0,7.0,0.0,"During an instrument approach, the aircraft descended below 3,500 ft. and impacted rising terrain became airborne, went over a hilltop and came to rest 1,380 ft. further on. A fire started in the area of the right engine and spread throughout the fuselage. A premature descent to minimum descent altitude based on the flightcrew's use of an incorrect distance measuring equipment frequency and the flightcrew's subsequent failure to remain at or above MDA."
3263,3263,1981/01/27,22:30:00,"Winnemucca, Nevada",Orcon Inc. - Air Taxi,"Reno, NV - Winnemucca, NV",1325,Aero Commander 681,CY-IYT,721,3.0,2.0,0.0,"Pilot transmitted he had runway in slight but crashed short of runway. Rain, snow and turbulence with thunderstorms in the area."
3264,3264,1981/02/07,0,"Near Leningrad, Russia",Military - Soviet Navy,/,9220,Tupolev TU-104A,NF-MRR,7660402,52.0,52.0,0.0,Crashed shortly after taking off approximately 10 miles north of Leningrad.
3265,3265,1981/02/10,21:16:00,"Houma, Louisiana",Walker - Watts Aviation - Air Taxi,"New Orleans, LA - Houma, LA",3793,Cessna 310R,DY-DUB,310R0007,4.0,4.0,0.0,Crashed on final approach after encountering windshear. Pilot not briefed on possibility of turbulence and windshear by FSS personnel.
3266,3266,1981/02/11,18:40:00,"White Plains, New York",Private - Corporate,"White Plains, NY - Toronto, Canada - White Plains, NY",9775,Lockheed 1339,GD-MXV,2550,8.0,8.0,0.0,"Crashed in rain, fog, windshear.  Pilot distracted as a result of a major electrical system failure. Undetected deviation from flightpath."
3267,3267,1981/02/22,14:20:00,"Avalon, California",Helicopter - Air Taxi,"San Pedro, CA - Avalon, CA",6497,Sikorsky S-62A,UB-NRO,62012,8.0,2.0,0.0,The main rotor disk failed from a fatigue fracture while attempting to land.
3268,3268,1981/02/24,0,"Belem, Brazil",VOTEC,Tucurui - Belem,2236,Embraer 110P Bandeirante,YP-IMY,110-144,14.0,11.0,0.0,Crashed into a tug boat and barges while on approach in heavy rain and wind and broke in two.
3269,3269,1981/02/25,17:30:00,"North Adams, Massachusetts",Berkshire Aviation - Air Taxi,"North Adams, MA - New York, NY",6445,Cessna 310R,GJ-ZQH,179,3.0,2.0,0.0,Failed to obtain flying speed on takeoff and crashed. Airframe icing. Pitot heat off.
3270,3270,1981/02/26,05:25:00,Off Tabones Island  Philippines,Military - U.S. Air Force,/,5262,Lockheed MC-130E-Y,JL-MVQ,4074,24.0,23.0,0.0,"The military transport crashed into SubiBay, 15 miles west-northwest of Cubi Point Naval Air Station where it had taken off an hour earlier and where it was on approach to land. Witnesses saw the aircraft flying at a low altitude just before crashing into the sea and exploding in flames."
3271,3271,1981/03/02,08:13:00,"Fallon, Nevada",Air Chaparral - Air Taxi,"Fallon, NV - Austin, NVq",2837,Cessna T210N,FB-MTR,6063,2.0,2.0,0.0,"Flew into the ground in rain, snow and low visibility. Six minutes before accident pilot radioed weather in the pass was getting lower and lower. Continued VFR flight into adverse weather."
3272,3272,1981/03/10,05:00:00,"Moroni, Comoro Islands",Military - French Naval Aviation,/,7642,Dassault-Breguet Atlantique,YK-JYJ,2400,18.0,18.0,0.0,"As the plane was taking off, one of the engines failed and after climbing to 500 ft., the aircraft plunged to earth and exploded in flames."
3273,3273,1981/03/15,0,"Shemya AFB, Alaska",Military - U.S. Air Force,Fairbanks - Shemya AFB,5331,Boeing RC-135S,KD-EYZ,18340,24.0,6.0,0.0,Hit the ground short of the runway in snow and fog.
3274,3274,1981/03/26,0,"Redzikowo, Poland",LOT Polish Airlines,/,6769,Antonov AN-24B,HB-XRO,07306007,52.0,1.0,0.0,Separation of a propeller blade caused a forced landing resulting the the plane crashing and burining.
3275,3275,1981/03/27,16:32:00,"Galena, Alaska",Galena Air Service - Air Taxi,"Hughes, AK - Galena, AK",4590,Piper PA-31,PJ-JUS,1555,4.0,4.0,0.0,"Lost an engine during a go around, began to climb, entered a steep left bank and crashed. Engine failure for unknown reasons."
3276,3276,1981/04/01,0,"Mt. Hagen, Papua, New Guinea",Talair,/,3001,Cessna 402,SB-RPV,7874,8.0,8.0,0.0,/
3277,3277,1981/04/06,0,"Laguna Soliz, Bolivia",Urcupina,/,4592,Douglas C-47A,AF-GBM,19395,7.0,7.0,0.0,The cargo plane flew into the ground while trying to avoid bad weather.
3278,3278,1981/04/07,11:36:00,"Cincinnati, Ohio",Freedom International,Cincinnati - Detroit,7231,Learjet 23,ZO-YOZ,23-068,2.0,1.0,0.0,"While climbing through 3,800 ft., a Loon collided with the cargo plane penetrating the windshield. The copilot was killed and the captain sustained serious injuries. Debris from the windshield were ingested by the No.2 engine which had to be shut down. The pilot returned to the airport for a successful emergency landing."
3279,3279,1981/04/17,16:01:00,"Loveland, Colorado",Air US / Private,"Denver, CO - Gillette, WY",3782,Hadley Page 137Jetstream I / Cessna 206,DB-EZU,238,19.0,15.0,0.0,"A midair collision occurred 2 nm east-southeast of Loveland, Colorado at 13,000 ft.. Two killed and 3 injured on the Cessna and 13 killed on the Jetstream. The failure of the Cessna pilot to establish communications with the Denver Center and his climbing into controlled airspace above 12,500 ft without an authorized transponder. Contributing factor was the fact that existing regulations did not prohibit parachute jumping in or immediately adjacent to federal airways."
3280,3280,1981/04/28,07:45:00,"Pekanbaru, Indonesia",Airfast Indonesia,/,7841,Douglas C-47A-5-DK,EE-ERJ,12209,17.0,15.0,0.0,Crashed during final approach. Hudbay Oil Co. charter.
3281,3281,1981/05/06,10:50:00,"Near Fredrick, Maryland",Military - U.S. Air Force,Training,2221,Boeing EC-135N,TA-FZG,18235,21.0,21.0,0.0,"While cruising at FL 210, the pitch trim moved to the full nose-down position. Gravational forces from the resulting dive led to the break-up of the aircraft."
3282,3282,1981/05/07,10:53:00,"Rio de la Plata, Argentina",Austral Lineas Aeras (Argentina),Tucuman - Buenos Aires,5550,BAC One-Eleven 529FR,LX-RWH,212,31.0,31.0,0.0,The aircraft crashed into a river bed after two missed approaches and while in a holding pattern. Severe turbulence and thunderstorms where occurring in area. Loss of control of the aircraft and impact with the water by an error of the pilot in assessing the meteorological conditions on crossing through a zone of extremely violent cumulonimbus clouds. Windshear.
3283,3283,1981/05/16,0,"Near Menongue, Angola",TAAG Angola Airlines,/,7562,Lockheed L-100-20 Hercules,AZ-DSF,4830,4.0,4.0,0.0,Shot down by a surface-to-air missile.
3284,3284,1981/05/21,0,"Pinarete Mountain, Mexico",Lineas Aereas,Oaxaca - Puerto Escondido,8302,Convair CV-440-11,JP-FIP,327,20.0,20.0,0.0,"Crashed into a mountain at 8,800 feet obscured by clouds."
3285,3285,1981/05/22,0,"Near Zumba, Ecuador",TAME,/,8909,de Havilland Canada DHC-6 Twin Otter 300,KG-TWS,457,18.0,18.0,0.0,Crashed into a mountain in fog.
3286,3286,1981/05/24,15:00:00,"Near Guachala, Ecuador",Military - Ecuadorean Air Force,Quito - Macara,1504,Beech Super King Air 200/DHC6-Twin Otter,EK-IRI,6993,27.0,27.0,0.0,Crashed and burned after a mid-air collision over mountainous terrain in rain and fog.  Nine killed aboard the Beech and 16 aboard the Twin Otter.
3287,3287,1981/05/28,16:40:00,"Avalon, California",Shanair Inc. - Air Taxi,"Avalon, CA - Visalia, CA",4564,Beechcraft 58,WT-MYH,7845,3.0,2.0,0.0,"After taking off the plane circled three time at a low altitude. On the third pass the aircraft experienced a slow roll, the nose dropped and the plane crashed into the water. Unwarranted low flying. Misjudged speed and exercised poor judgment."
3288,3288,1981/05/29,0,"Cairo, Egypt",Military - Egyptian Air Force,/,8349,Lockheed C-130H Hercules,FH-WZF,4792,17.0,17.0,0.0,/
3289,3289,1981/06/13,0,"Ust-Barguzin, Russia",Aeroflot,Ulan - Severomuysk,7855,Ilyushin Il-14,VS-UEI,147001141,52.0,52.0,0.0,The crew informed ATC they could see the field but crashed 30 km from the airport.
3290,3290,1981/06/13,0,"Hualien, Taiwan",Taiwan Airlines,/,2790,Britten-Norman BN-2A-8 Islander,QG-HOP,701,2.0,2.0,0.0,Crashed into a mountain during a typhoon.
3291,3291,1981/06/17,0,"Miraflores, Colombia",Taxi Aéreo el Venado,/,3961,Douglas DC-3,TV-MJW,9884,12.0,2.0,0.0,With one engine out and attempting an emergency landing the aircraft had to go-around because of a plane on the runway. While attempting a second landing from the opposite direction the aircraft ditched into a lake.
3292,3292,1981/06/26,0,"Nailstone, England",Dan Air Services,London - East Midlands,6366,Hawker Siddeley HS-748,IO-BAR,1560,3.0,3.0,0.0,"The the right rear door  of the cargo plane detached and struck the horizontal tail plane and became lodged on the leading edge. Control was lost, and the aircraft entered a steep dive. During the dive, the wings and tail plane failed due to overstressing."
3293,3293,1981/06/30,18:11:00,"Muskegon, Michigan",G & W Aviation,"Muskegon, MI - Pontiac, MI",6822,Cessna 401,JV-CRR,1193,5.0,5.0,0.0,The aircraft experienced engine failure on takeoff and crashed. Power plant failure for reasons unknown. Improper emergency procedures.
3294,3294,1981/07/18,15:44:00,"Near Yerevan, Armenia",TAR,"Tehran, Iran - Larnaca, Cyprus",1691,Canadair CL-44D4-6,CQ-SZR,34,4.0,4.0,0.0,The cargo plane was brought down after a Soviet fighter jet crashed into the tail of the Canadair. The plane had strayed into Soviet airspace.
